title,authors,firstAuthor,date,category,citationNumber
Rapid DNA–protein cross-linking and strand scission by an abasic site in a nucleosome core particle,Jonathan T. Sczepanski; Remus S. Wong; Jeffrey N. McKnight; Gregory D. Bowman; and Marc M. Greenberg,Jonathan T. Sczepanski,December 28; 2010 ,Biochemistry,76
NMR analysis of the αIIbβ3 cytoplasmic interaction suggests a mechanism for integrin regulation,Douglas G. Metcalf; David T. Moore; Yibing Wu; Joseph M. Kielec; Kathleen Molnar; Kathleen G. Valentine; A. Joshua Wand; Joel S. Bennett; and William F. DeGrado,Douglas G. Metcalf,December 28; 2010 ,Biochemistry,42
Autoinhibition of DNA cleavage mediated by RAG1 and RAG2 is overcome by an epigenetic signal in V(D)J recombination,Gabrielle J. Grundy; Wei Yang; and Martin Gellert,Gabrielle J. Grundy,December 28; 2010 ,Biochemistry,32
Structure of RavA MoxR AAA+ protein reveals the design principles of a molecular cage modulating the inducible lysine decarboxylase activity,Majida El Bakkouri; Irina Gutsche; Usheer Kanjee; Boyu Zhao; Miao Yu; Gael Goret; Guy Schoehn; Wim P. Burmeister; and Walid A. Houry,Majida El Bakkouri,December 28; 2010 ,Biochemistry,17
Structural basis for active site closure by the poliovirus RNA-dependent RNA polymerase,Peng Gong and Olve B. Peersen,Peng Gong,December 28; 2010 ,Biochemistry,116
Structural basis of flocculin-mediated social behavior in yeast,Maik Veelders; Stefan Brückner; Dimitri Ott; Carlo Unverzagt; Hans-Ulrich Mösch; and Lars-Oliver Essen,Maik Veelders,December 28; 2010 ,Biochemistry,56
Discovery of a minimal form of RNase P in Pyrobaculum,Lien B. Lai; Patricia P. Chan; Aaron E. Cozen; David L. Bernick; James W. Brown; Venkat Gopalan; and Todd M. Lowe,Lien B. Lai,December 28; 2010 ,Biochemistry,26
Palmitoylation regulates raft affinity for the majority of integral raft proteins,Ilya Levental; Daniel Lingwood; Michal Grzybek; Ünal Coskun; and Kai Simons,Ilya Levental,December 21; 2010 ,Biochemistry,218
A naturally chimeric type IIA topoisomerase in Aquifex aeolicus highlights an evolutionary path for the emergence of functional paralogs,Elsa M. Tretter; Jeffrey C. Lerman; and James M. Berger,Elsa M. Tretter,December 21; 2010 ,Biochemistry,13
Exquisite sensitivity to subsecond; picomolar nitric oxide transients conferred on cells by guanylyl cyclase-coupled receptors,Andrew M. Batchelor; Katalin Bartus; Clare Reynell; Sophie Constantinou; Edward J. Halvey; Kara F. Held; Wolfgang R. Dostmann; Jeffrey Vernon; and John Garthwaite,Andrew M. Batchelor,December 21; 2010 ,Biochemistry,39
Molecular recognition between ketosynthase and acyl carrier protein domains of the 6-deoxyerythronolide B synthase,Shiven Kapur; Alice Y. Chen; David E. Cane; and Chaitan Khosla,Shiven Kapur,December 21; 2010 ,Biochemistry,39
Mechanism for the inhibition of the carboxyltransferase domain of acetyl-coenzyme A carboxylase by pinoxaden,Linda P. C. Yu; Yi Seul Kim; and Liang Tong,Linda P. C. Yu,December 21; 2010 ,Biochemistry,37
Structural insights into the activation mechanism of melibiose permease by sodium binding,Meritxell Granell; Xavier León; Gérard Leblanc; Esteve Padrós; and Víctor A. Lórenz-Fonfría,Meritxell Granell,December 21; 2010 ,Biochemistry,19
Opn5 is a UV-sensitive bistable pigment that couples with Gi subtype of G protein,Takahiro Yamashita; Hideyo Ohuchi; Sayuri Tomonari; Keiko Ikeda; Kazumi Sakai; and Yoshinori Shichida,Takahiro Yamashita,December 21; 2010 ,Biochemistry,62
Apurinic/apyrimidinic (AP) site recognition by the 5′-dRP/AP lyase in poly(ADP-ribose) polymerase-1 (PARP-1),S. N. Khodyreva; R. Prasad; E. S. Ilina; M. V. Sukhanova; M. M. Kutuzov; Y. Liu; E. W. Hou; S. H. Wilson; and O. I. Lavrik,S. N. Khodyreva,December 21; 2010 ,Biochemistry,63
Design of small molecules that target metal-Aβ species and regulate metal-induced Aβ aggregation and neurotoxicity,Jung-Suk Choi; Joseph J. Braymer; Ravi P. R. Nanga; Ayyalusamy Ramamoorthy; and Mi Hee Lim,Jung-Suk Choi,December 21; 2010 ,Biochemistry,174
In vivo imaging of hydrogen peroxide production in a murine tumor model with a chemoselective bioluminescent reporter,Genevieve C. Van de Bittner; Elena A. Dubikovskaya; Carolyn R. Bertozzi; and Christopher J. Chang,Genevieve C. Van de Bittner,December 14; 2010 ,Biochemistry,193
UNC-45/CRO1/She4p (UCS) protein forms elongated dimer and joins two myosin heads near their actin binding region,Hang Shi and Günter Blobel,Hang Shi,December 14; 2010 ,Biochemistry,26
Cation-π interaction regulates ligand-binding affinity and signaling of integrin α4β7,YouDong Pan; Kun Zhang; JunPeng Qi; Jiao Yue; Timothy A. Springer; and JianFeng Chen,YouDong Pan,December 14; 2010 ,Biochemistry,13
Strategies for stabilizing superoxide dismutase (SOD1); the protein destabilized in the most common form of familial amyotrophic lateral sclerosis,Jared R. Auclair; Kristin J. Boggio; Gregory A. Petsko; Dagmar Ringe; and Jeffrey N. Agar,Jared R. Auclair,December 14; 2010 ,Biochemistry,31
Structural identification of cation binding pockets in the plasma membrane proton pump,Kira Ekberg; Bjørn P. Pedersen; Danny M. Sørensen; Ann K. Nielsen; Bjarke Veierskov; Poul Nissen; Michael G. Palmgren; and Morten J. Buch-Pedersen,Kira Ekberg,December 14; 2010 ,Biochemistry,9
Crystal structure of a 117 kDa glucansucrase fragment provides insight into evolution and product specificity of GH70 enzymes,Andreja Vujičić-Žagar; Tjaard Pijning; Slavko Kralj; Cesar A. López; Wieger Eeuwema; Lubbert Dijkhuizen; and Bauke W. Dijkstra,Andreja Vujičić-Žagar,December 14; 2010 ,Biochemistry,78
Directed epitope delivery across the Escherichia coli outer membrane through the porin OmpF,Nicholas G. Housden; Justyna A. Wojdyla; Justyna Korczynska; Irina Grishkovskaya; Nadine Kirkpatrick; A. Marek Brzozowski; and Colin Kleanthous,Nicholas G. Housden,December 14; 2010 ,Biochemistry,54
