,Unnamed: 0,title,authors,firstAuthor,date,category,citationNumber,hIndex,impact,eid,authorEid,genders,gendersProbability
0,0,Rapid DNA–protein cross-linking and strand scission by an abasic site in a nucleosome core particle,Jonathan T. Sczepanski; Remus S. Wong; Jeffrey N. McKnight; Gregory D. Bowman; and Marc M. Greenberg,Jonathan T. Sczepanski,December 28; 2010 ,Biochemistry,76.0,11,"(152, 4, 38.0)",2-s2.0-78651077907,24482121700.0,male,"{'male': 1.0, 'female': 0.0}"
1,1,NMR analysis of the αIIbβ3 cytoplasmic interaction suggests a mechanism for integrin regulation,Douglas G. Metcalf; David T. Moore; Yibing Wu; Joseph M. Kielec; Kathleen Molnar; Kathleen G. Valentine; A. Joshua Wand; Joel S. Bennett; and William F. DeGrado,Douglas G. Metcalf,December 28; 2010 ,Biochemistry,42.0,-1,0,0,0.0,male,"{'male': 1.0, 'female': 0.0}"
2,2,Autoinhibition of DNA cleavage mediated by RAG1 and RAG2 is overcome by an epigenetic signal in V(D)J recombination,Gabrielle J. Grundy; Wei Yang; and Martin Gellert,Gabrielle J. Grundy,December 28; 2010 ,Biochemistry,32.0,11,"(32, 2, 16.0)",2-s2.0-78651089760,8901475400.0,female,"{'male': 0.0014259903691709042, 'female': 0.9985740096308291}"
3,3,Structure of RavA MoxR AAA+ protein reveals the design principles of a molecular cage modulating the inducible lysine decarboxylase activity,Majida El Bakkouri; Irina Gutsche; Usheer Kanjee; Boyu Zhao; Miao Yu; Gael Goret; Guy Schoehn; Wim P. Burmeister; and Walid A. Houry,Majida El Bakkouri,December 28; 2010 ,Biochemistry,17.0,11,"(53, 3, 17.666666666666668)",2-s2.0-78651113305,24343640900.0,female,"{'male': 9.83318031444469e-08, 'female': 0.9999999016681969}"
4,4,Structural basis for active site closure by the poliovirus RNA-dependent RNA polymerase,Peng Gong and Olve B. Peersen,Peng Gong,December 28; 2010 ,Biochemistry,116.0,64,"(1376, 42, 32.76190476190476)",2-s2.0-78651097570,7102704109.0,andy,"{'male': 0.9976292252540588, 'female': 0.002370774745941162}"
5,5,Structural basis of flocculin-mediated social behavior in yeast,Maik Veelders; Stefan Brückner; Dimitri Ott; Carlo Unverzagt; Hans-Ulrich Mösch; and Lars-Oliver Essen,Maik Veelders,December 28; 2010 ,Biochemistry,56.0,4,"(0, 0, 0)",2-s2.0-78651074197,36740567100.0,male,"{'male': 0.9999035596847534, 'female': 9.644031524658203e-05}"
6,6,Discovery of a minimal form of RNase P in Pyrobaculum,Lien B. Lai; Patricia P. Chan; Aaron E. Cozen; David L. Bernick; James W. Brown; Venkat Gopalan; and Todd M. Lowe,Lien B. Lai,December 28; 2010 ,Biochemistry,26.0,9,"(0, 0, 0)",2-s2.0-78651109869,7202616166.0,female,"{'male': 0.34312349557876587, 'female': 0.6568765044212341}"
7,7,Palmitoylation regulates raft affinity for the majority of integral raft proteins,Ilya Levental; Daniel Lingwood; Michal Grzybek; Ünal Coskun; and Kai Simons,Ilya Levental,December 21; 2010 ,Biochemistry,218.0,28,"(1136, 11, 103.27272727272727)",2-s2.0-78650664669,15849184400.0,male,"{'male': 0.9995412826538086, 'female': 0.00045871734619140625}"
8,8,A naturally chimeric type IIA topoisomerase in Aquifex aeolicus highlights an evolutionary path for the emergence of functional paralogs,Elsa M. Tretter; Jeffrey C. Lerman; and James M. Berger,Elsa M. Tretter,December 21; 2010 ,Biochemistry,13.0,7,"(38, 1, 38.0)",2-s2.0-78650653937,24823094900.0,female,"{'male': 3.2969514904834796e-06, 'female': 0.9999967030485095}"
9,9,Exquisite sensitivity to subsecond; picomolar nitric oxide transients conferred on cells by guanylyl cyclase-coupled receptors,Andrew M. Batchelor; Katalin Bartus; Clare Reynell; Sophie Constantinou; Edward J. Halvey; Kara F. Held; Wolfgang R. Dostmann; Jeffrey Vernon; and John Garthwaite,Andrew M. Batchelor,December 21; 2010 ,Biochemistry,39.0,16,"(0, 0, 0)",2-s2.0-78650672321,7102816691.0,male,"{'male': 1.0, 'female': 0.0}"
10,10,Molecular recognition between ketosynthase and acyl carrier protein domains of the 6-deoxyerythronolide B synthase,Shiven Kapur; Alice Y. Chen; David E. Cane; and Chaitan Khosla,Shiven Kapur,December 21; 2010 ,Biochemistry,39.0,9,"(87, 3, 29.0)",2-s2.0-78650660868,7102708903.0,unknown,"{'male': 0.1663239598274231, 'female': 0.8336760401725769}"
11,11,Mechanism for the inhibition of the carboxyltransferase domain of acetyl-coenzyme A carboxylase by pinoxaden,Linda P. C. Yu; Yi Seul Kim; and Liang Tong,Linda P. C. Yu,December 21; 2010 ,Biochemistry,37.0,-1,0,0,0.0,female,"{'male': 0.858323872089386, 'female': 0.141676127910614}"
12,12,Structural insights into the activation mechanism of melibiose permease by sodium binding,Meritxell Granell; Xavier León; Gérard Leblanc; Esteve Padrós; and Víctor A. Lórenz-Fonfría,Meritxell Granell,December 21; 2010 ,Biochemistry,19.0,5,"(11, 1, 11.0)",2-s2.0-78650649169,6603434414.0,unknown,"{'male': 5.263367484076298e-07, 'female': 0.9999994736632516}"
13,13,Opn5 is a UV-sensitive bistable pigment that couples with Gi subtype of G protein,Takahiro Yamashita; Hideyo Ohuchi; Sayuri Tomonari; Keiko Ikeda; Kazumi Sakai; and Yoshinori Shichida,Takahiro Yamashita,December 21; 2010 ,Biochemistry,62.0,15,"(90, 4, 22.5)",2-s2.0-78650674434,35412062800.0,male,"{'male': 1.0, 'female': 0.0}"
14,14,Apurinic/apyrimidinic (AP) site recognition by the 5′-dRP/AP lyase in poly(ADP-ribose) polymerase-1 (PARP-1),S. N. Khodyreva; R. Prasad; E. S. Ilina; M. V. Sukhanova; M. M. Kutuzov; Y. Liu; E. W. Hou; S. H. Wilson; and O. I. Lavrik,S. N. Khodyreva,December 21; 2010 ,Biochemistry,63.0,20,"(45, 7, 6.428571428571429)",2-s2.0-78650670562,7005933902.0,unknown,"{'male': 1.0, 'female': 0.0}"
15,15,Design of small molecules that target metal-Aβ species and regulate metal-induced Aβ aggregation and neurotoxicity,Jung-Suk Choi; Joseph J. Braymer; Ravi P. R. Nanga; Ayyalusamy Ramamoorthy; and Mi Hee Lim,Jung-Suk Choi,December 21; 2010 ,Biochemistry,174.0,-1,0,0,0.0,female,"{'male': 0.8653730750083923, 'female': 0.13462692499160767}"
16,16,In vivo imaging of hydrogen peroxide production in a murine tumor model with a chemoselective bioluminescent reporter,Genevieve C. Van de Bittner; Elena A. Dubikovskaya; Carolyn R. Bertozzi; and Christopher J. Chang,Genevieve C. Van de Bittner,December 14; 2010 ,Biochemistry,193.0,8,"(0, 0, 0)",2-s2.0-78650735459,36706640400.0,female,"{'male': 3.2466806487718713e-07, 'female': 0.9999996753319351}"
17,17,UNC-45/CRO1/She4p (UCS) protein forms elongated dimer and joins two myosin heads near their actin binding region,Hang Shi and Günter Blobel,Hang Shi,December 14; 2010 ,Biochemistry,26.0,4,"(0, 0, 0)",2-s2.0-78650730499,55448199500.0,andy,"{'male': 0.305133581161499, 'female': 0.694866418838501}"
18,18,Cation-π interaction regulates ligand-binding affinity and signaling of integrin α4β7,YouDong Pan; Kun Zhang; JunPeng Qi; Jiao Yue; Timothy A. Springer; and JianFeng Chen,YouDong Pan,December 14; 2010 ,Biochemistry,13.0,-1,0,0,0.0,unknown,"{'male': 0.9997809529304504, 'female': 0.00021904706954956055}"
