,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,authors,firstAuthor,date,category,citationNumber,hIndex,impact,eid,authorEid
0,0,0,0,Rapid DNA–protein cross-linking and strand scission by an abasic site in a nucleosome core particle,Jonathan T. Sczepanski; Remus S. Wong; Jeffrey N. McKnight; Gregory D. Bowman; and Marc M. Greenberg,Jonathan T. Sczepanski,December 28; 2010 ,Biochemistry,76.0,11,"(152, 4, 38.0)",2-s2.0-78651077907,24482121700
1,1,1,1,NMR analysis of the αIIbβ3 cytoplasmic interaction suggests a mechanism for integrin regulation,Douglas G. Metcalf; David T. Moore; Yibing Wu; Joseph M. Kielec; Kathleen Molnar; Kathleen G. Valentine; A. Joshua Wand; Joel S. Bennett; and William F. DeGrado,Douglas G. Metcalf,December 28; 2010 ,Biochemistry,42.0,-1,0,0,0
2,2,2,2,Autoinhibition of DNA cleavage mediated by RAG1 and RAG2 is overcome by an epigenetic signal in V(D)J recombination,Gabrielle J. Grundy; Wei Yang; and Martin Gellert,Gabrielle J. Grundy,December 28; 2010 ,Biochemistry,32.0,11,"(32, 2, 16.0)",2-s2.0-78651089760,8901475400
3,3,3,3,Structure of RavA MoxR AAA+ protein reveals the design principles of a molecular cage modulating the inducible lysine decarboxylase activity,Majida El Bakkouri; Irina Gutsche; Usheer Kanjee; Boyu Zhao; Miao Yu; Gael Goret; Guy Schoehn; Wim P. Burmeister; and Walid A. Houry,Majida El Bakkouri,December 28; 2010 ,Biochemistry,17.0,11,"(53, 3, 17.666666666666668)",2-s2.0-78651113305,24343640900
4,4,4,4,Structural basis for active site closure by the poliovirus RNA-dependent RNA polymerase,Peng Gong and Olve B. Peersen,Peng Gong,December 28; 2010 ,Biochemistry,116.0,64,"(1376, 42, 32.76190476190476)",2-s2.0-78651097570,7102704109
5,5,5,5,Structural basis of flocculin-mediated social behavior in yeast,Maik Veelders; Stefan Brückner; Dimitri Ott; Carlo Unverzagt; Hans-Ulrich Mösch; and Lars-Oliver Essen,Maik Veelders,December 28; 2010 ,Biochemistry,56.0,4,"(0, 0, 0)",2-s2.0-78651074197,36740567100
6,6,6,6,Discovery of a minimal form of RNase P in Pyrobaculum,Lien B. Lai; Patricia P. Chan; Aaron E. Cozen; David L. Bernick; James W. Brown; Venkat Gopalan; and Todd M. Lowe,Lien B. Lai,December 28; 2010 ,Biochemistry,26.0,9,"(0, 0, 0)",2-s2.0-78651109869,7202616166
7,7,7,7,Palmitoylation regulates raft affinity for the majority of integral raft proteins,Ilya Levental; Daniel Lingwood; Michal Grzybek; Ünal Coskun; and Kai Simons,Ilya Levental,December 21; 2010 ,Biochemistry,218.0,28,"(1136, 11, 103.27272727272727)",2-s2.0-78650664669,15849184400
8,8,8,8,A naturally chimeric type IIA topoisomerase in Aquifex aeolicus highlights an evolutionary path for the emergence of functional paralogs,Elsa M. Tretter; Jeffrey C. Lerman; and James M. Berger,Elsa M. Tretter,December 21; 2010 ,Biochemistry,13.0,7,"(38, 1, 38.0)",2-s2.0-78650653937,24823094900
9,9,9,9,Exquisite sensitivity to subsecond; picomolar nitric oxide transients conferred on cells by guanylyl cyclase-coupled receptors,Andrew M. Batchelor; Katalin Bartus; Clare Reynell; Sophie Constantinou; Edward J. Halvey; Kara F. Held; Wolfgang R. Dostmann; Jeffrey Vernon; and John Garthwaite,Andrew M. Batchelor,December 21; 2010 ,Biochemistry,39.0,16,"(0, 0, 0)",2-s2.0-78650672321,7102816691
